Charger Latitude,Charger Longitude,Hour,Demand Count Near Origin,Demand Count Near Destination,Total Demand Count,lat_lon,id
22.3232465,114.2046191,7,2355,2705,5060,"(22.3232465, 114.2046191)",8
22.3232465,114.2046191,8,1367,3670,5037,"(22.3232465, 114.2046191)",8
22.3232465,114.2046191,9,2413,2610,5023,"(22.3232465, 114.2046191)",8
22.3232465,114.2046191,10,1673,2087,3760,"(22.3232465, 114.2046191)",8
22.3232465,114.2046191,11,624,12,636,"(22.3232465, 114.2046191)",8
22.3232465,114.2046191,12,2828,3807,6635,"(22.3232465, 114.2046191)",8
22.3232465,114.2046191,13,825,1498,2323,"(22.3232465, 114.2046191)",8
22.3232465,114.2046191,14,1542,2062,3604,"(22.3232465, 114.2046191)",8
22.3232465,114.2046191,15,2613,1300,3913,"(22.3232465, 114.2046191)",8
22.3232465,114.2046191,16,1297,1195,2492,"(22.3232465, 114.2046191)",8
22.3232465,114.2046191,17,1455,1513,2968,"(22.3232465, 114.2046191)",8
22.3232465,114.2046191,18,2586,1783,4369,"(22.3232465, 114.2046191)",8
22.3232465,114.2046191,19,1496,1531,3027,"(22.3232465, 114.2046191)",8
22.3232465,114.2046191,20,1764,1866,3630,"(22.3232465, 114.2046191)",8
22.3232465,114.2046191,21,2094,1932,4026,"(22.3232465, 114.2046191)",8
22.3232465,114.2046191,22,570,805,1375,"(22.3232465, 114.2046191)",8
22.3232465,114.2046191,23,599,941,1540,"(22.3232465, 114.2046191)",8
22.3166321,114.1831514,0,1891,982,2873,"(22.3166321, 114.1831514)",9
22.3166321,114.1831514,1,1980,605,2585,"(22.3166321, 114.1831514)",9
22.3166321,114.1831514,2,1643,1391,3034,"(22.3166321, 114.1831514)",9
22.3166321,114.1831514,3,220,201,421,"(22.3166321, 114.1831514)",9
22.3166321,114.1831514,4,318,806,1124,"(22.3166321, 114.1831514)",9
22.3166321,114.1831514,5,219,523,742,"(22.3166321, 114.1831514)",9
22.3166321,114.1831514,6,727,1057,1784,"(22.3166321, 114.1831514)",9
22.3166321,114.1831514,7,5567,5933,11500,"(22.3166321, 114.1831514)",9
22.3166321,114.1831514,8,5359,5804,11163,"(22.3166321, 114.1831514)",9
22.3166321,114.1831514,9,5693,6387,12080,"(22.3166321, 114.1831514)",9
22.3166321,114.1831514,10,3497,4568,8065,"(22.3166321, 114.1831514)",9
22.3166321,114.1831514,11,4641,3578,8219,"(22.3166321, 114.1831514)",9
22.3166321,114.1831514,12,7429,6548,13977,"(22.3166321, 114.1831514)",9
22.3166321,114.1831514,13,6566,4997,11563,"(22.3166321, 114.1831514)",9
22.3166321,114.1831514,14,4245,4353,8598,"(22.3166321, 114.1831514)",9
22.3166321,114.1831514,15,4805,7193,11998,"(22.3166321, 114.1831514)",9
22.3166321,114.1831514,16,4285,3480,7765,"(22.3166321, 114.1831514)",9
22.3166321,114.1831514,17,3643,4635,8278,"(22.3166321, 114.1831514)",9
22.3166321,114.1831514,18,4694,6060,10754,"(22.3166321, 114.1831514)",9
22.3166321,114.1831514,19,4451,5931,10382,"(22.3166321, 114.1831514)",9
22.3166321,114.1831514,20,3679,4361,8040,"(22.3166321, 114.1831514)",9
22.3166321,114.1831514,21,4953,4707,9660,"(22.3166321, 114.1831514)",9
22.3166321,114.1831514,22,2816,1581,4397,"(22.3166321, 114.1831514)",9
22.3166321,114.1831514,23,2608,2281,4889,"(22.3166321, 114.1831514)",9
22.3354512,114.1829159,0,945,414,1359,"(22.3354512, 114.1829159)",10
22.3354512,114.1829159,1,629,674,1303,"(22.3354512, 114.1829159)",10
22.3354512,114.1829159,2,196,618,814,"(22.3354512, 114.1829159)",10
22.3354512,114.1829159,3,202,201,403,"(22.3354512, 114.1829159)",10
22.3354512,114.1829159,4,857,538,1395,"(22.3354512, 114.1829159)",10
22.3354512,114.1829159,5,66,343,409,"(22.3354512, 114.1829159)",10
22.3354512,114.1829159,6,402,432,834,"(22.3354512, 114.1829159)",10
22.3354512,114.1829159,7,4131,3723,7854,"(22.3354512, 114.1829159)",10
22.3354512,114.1829159,8,3336,4345,7681,"(22.3354512, 114.1829159)",10
22.3354512,114.1829159,9,4219,2071,6290,"(22.3354512, 114.1829159)",10
22.3354512,114.1829159,10,2219,2247,4466,"(22.3354512, 114.1829159)",10
22.3354512,114.1829159,11,3091,2783,5874,"(22.3354512, 114.1829159)",10
22.3354512,114.1829159,12,5411,6366,11777,"(22.3354512, 114.1829159)",10
22.3354512,114.1829159,13,4240,2937,7177,"(22.3354512, 114.1829159)",10
22.3354512,114.1829159,14,3112,2150,5262,"(22.3354512, 114.1829159)",10
22.3354512,114.1829159,15,5009,4874,9883,"(22.3354512, 114.1829159)",10
22.3354512,114.1829159,16,1871,2595,4466,"(22.3354512, 114.1829159)",10
22.3354512,114.1829159,17,1036,2284,3320,"(22.3354512, 114.1829159)",10
22.3354512,114.1829159,18,2188,3731,5919,"(22.3354512, 114.1829159)",10
22.3354512,114.1829159,19,2476,4196,6672,"(22.3354512, 114.1829159)",10
22.3354512,114.1829159,20,2740,3120,5860,"(22.3354512, 114.1829159)",10
